time,open,close,high,low,tick_volume,target_close
2022-10-04,19560.31,20355.0,20455.08,19492.0,247039,20016.5
2022-10-05,20378.73,20016.5,20404.0,19737.28,213880,20039.25
2022-10-06,20003.5,20039.25,20445.0,19871.25,269357,19527.75
2022-10-07,20016.18,19527.75,20066.0,19315.83,192566,19235.75
2022-10-10,19469.65,19235.75,19527.0,19086.67,219672,19015.5
2022-10-11,19265.81,19015.5,19266.5,18847.23,199690,19158.0
2022-10-12,19010.06,19158.0,19197.25,18967.89,169156,19381.75
2022-10-13,19174.69,19381.75,19504.22,18139.64,124517,19171.5
2022-10-14,19387.62,19171.5,19943.79,19108.11,151696,19523.5
2022-10-17,19326.55,19523.5,19674.25,19095.19,158674,19370.0
2022-10-18,19503.63,19370.0,19700.25,19085.0,161151,19197.0
2022-10-19,19349.27,19197.0,19371.5,19064.0,157553,19021.5
2022-10-20,19198.21,19021.5,19343.5,18883.56,183324,19166.75
2022-10-21,18992.6,19166.75,19248.75,18655.18,139755,19372.0
2022-10-24,19493.35,19372.0,19696.25,19152.25,152432,20192.75
2022-10-25,19382.0,20192.75,20415.55,19234.25,158862,20754.75
2022-10-26,20167.92,20754.75,21017.92,19999.5,179787,20407.25
2022-10-27,20731.58,20407.25,20910.0,20243.9,159052,20644.63
2022-10-28,20386.5,20644.63,20753.5,19953.51,158821,20398.0
2022-10-31,20692.0,20398.0,20825.0,20226.0,39643,20467.0
2022-11-01,20393.0,20467.0,20668.0,20317.0,31857,20169.0
2022-11-02,20467.0,20169.0,20788.0,20090.0,33523,20228.0
2022-11-03,20163.0,20228.0,20378.0,20025.0,35308,21111.0
2022-11-04,20226.0,21111.0,21284.0,20150.0,45005,20656.0
2022-11-07,21114.0,20656.0,21164.0,20579.0,43519,18667.0
2022-11-08,20673.0,18667.0,20673.0,17826.0,74458,15742.0
2022-11-09,18683.0,15742.0,18708.0,15622.0,156904,17774.0
2022-11-10,15701.0,17774.0,18123.0,15542.0,151871,16752.0
2022-11-11,17787.0,16752.0,17833.0,16328.0,125231,16369.0
2022-11-14,16336.0,16369.0,17134.0,15775.0,106984,16862.0
2022-11-15,16360.0,16862.0,17086.0,16314.0,85928,16521.0
2022-11-16,16873.0,16521.0,16969.0,16337.0,72701,16671.0
2022-11-17,16516.0,16671.0,16729.0,16395.0,55623,16632.0
2022-11-18,16670.0,16632.0,16962.0,16523.0,47592,15589.0
2022-11-21,16238.0,15589.0,16318.0,15453.0,94567,16122.0
2022-11-22,15616.0,16122.0,16270.0,15586.0,83415,16465.0
2022-11-23,16112.0,16465.0,16658.0,16066.0,77578,16532.0
2022-11-24,16457.0,16532.0,16775.0,16430.0,65337,16494.0
2022-11-25,16530.0,16494.0,16612.0,16323.0,59484,16182.0
2022-11-28,16557.0,16182.0,16576.0,15977.0,72064,16445.0
2022-11-29,16185.0,16445.0,16524.0,16085.0,54712,17090.0
2022-11-30,16447.0,17090.0,17136.0,16412.0,59815,16919.0
2022-12-01,17093.0,16919.0,17279.0,16846.0,55453,17002.0
2022-12-02,16914.0,17002.0,17096.0,16786.0,45800,16957.0
2022-12-05,17102.0,16957.0,17405.0,16862.0,52701,16982.0
2022-12-06,16958.0,16982.0,17091.0,16903.0,33078,16820.0
2022-12-07,16974.0,16820.0,17122.0,16678.0,34356,17166.0
2022-12-08,16816.0,17166.0,17287.0,16727.0,29695,17098.0
2022-12-09,17170.0,17098.0,17326.0,17051.0,22112,17162.0
2022-12-12,17102.0,17162.0,17206.0,16866.0,21161,17736.0
2022-12-13,17167.0,17736.0,17950.0,17065.0,32273,17812.0
2022-12-14,17739.0,17812.0,18353.0,17651.0,44049,17377.0
2022-12-15,17815.0,17377.0,17844.0,17311.0,21831,16815.0
2022-12-16,17386.0,16815.0,17511.0,16730.0,28091,16573.0
2022-12-19,16745.0,16573.0,16841.0,16511.0,19287,16869.0
2022-12-20,16573.0,16869.0,17045.0,16267.0,30405,16772.0
2022-12-21,16868.0,16772.0,16914.0,16719.0,21240,16779.0
2022-12-22,16776.0,16779.0,16855.0,16550.0,20956,16801.0
2022-12-23,16774.0,16801.0,16912.0,16740.0,17150,16679.0
2022-12-27,16820.0,16679.0,16957.0,16567.0,15192,16508.0
2022-12-28,16678.0,16508.0,16764.0,16450.0,18970,16580.0
2022-12-29,16506.0,16580.0,16643.0,16450.0,15173,16573.0
2022-12-30,16581.0,16573.0,16638.0,16325.0,18252,16649.0
2023-01-03,16740.0,16649.0,16759.0,16590.0,15964,16809.0
2023-01-04,16647.0,16809.0,16974.0,16632.0,23008,16835.0
2023-01-05,16810.0,16835.0,16862.0,16745.0,14780,16908.0
2023-01-06,16834.0,16908.0,17018.0,16662.0,17041,17167.0
2023-01-09,16944.0,17167.0,17389.0,16941.0,27356,17453.0
2023-01-10,17170.0,17453.0,17483.0,17120.0,23110,17548.0
2023-01-11,17438.0,17548.0,17569.0,17298.0,22370,18810.0
2023-01-12,17549.0,18810.0,19099.0,17500.0,63405,19799.0
2023-01-13,18819.0,19799.0,19862.0,18707.0,56767,21122.0
2023-01-16,20894.0,21122.0,21431.0,20617.0,80116,21316.0
2023-01-17,21122.0,21316.0,21562.0,20848.0,67599,20761.0
2023-01-18,21304.0,20761.0,21628.0,20387.0,77611,20935.0
2023-01-19,20767.0,20935.0,21180.0,20616.0,52380,22318.0
2023-01-20,20923.0,22318.0,22422.0,20857.0,57479,22985.0
2023-01-23,22583.0,22985.0,23160.0,22490.0,75032,22875.0
2023-01-24,22989.0,22875.0,23156.0,22702.0,62631,23584.0
2023-01-25,22893.0,23584.0,23658.0,22320.0,73423,23064.0
